Rodada,Mandante,Visitante,Resultado,André Loffredo,Alex Escobar,Carlos Mansur,Espião Estatístico,Felipe Diniz,Jessica Cescon,Rodrigo Coutinho,Tiago Medeiros,90 minutos
1,Internacional,Bahia,1,1,1,0,1,1,0,1,1,1
1,Criciúma,Juventude,0,0,2,1,1,0,1,2,1,1
1,Fluminense,Bragantino,0,1,0,1,1,1,1,1,1,1
1,São Paulo,Fortaleza,2,1,1,0,1,1,2,2,0,0
1,Vasco,Grêmio,1,0,2,1,1,0,0,0,1,0
1,Corinthians,Atlético-MG,0,0,2,0,1,2,1,2,0,0
1,Athletico-PR,Cuiabá,1,1,1,1,1,1,1,1,1,0
1,Atlético-GO,Flamengo,2,2,2,2,2,2,2,0,2,2
1,Cruzeiro,Botafogo,1,2,0,0,1,0,0,2,0,0
1,Vitória,Palmeiras,2,2,2,2,2,2,2,2,2,2
2,Bahia,Fluminense,1,0,1,0,1,0,2,0,1,1
2,Grêmio,Athletico-PR,1,0,0,2,1,2,2,2,1,0
2,Bragantino,Vasco,1,1,1,1,1,0,1,0,0,1
2,Atlético-MG,Criciúma,0,1,1,1,1,1,1,1,1,1
2,Palmeiras,Internacional,2,1,1,1,1,1,1,1,0,1
2,Fortaleza,Cruzeiro,0,1,1,1,1,1,0,0,1,1
2,Juventude,Corinthians,1,0,0,0,2,1,0,0,1,0
2,Flamengo,São Paulo,1,1,1,1,1,1,1,1,1,1
2,Botafogo,Atlético-GO,1,1,0,1,1,1,0,0,1,1
2,Cuiabá,Vitória,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Fluminense,Vasco,1,0,0,2,1,0,0,0,1,0
3,Grêmio,Cuiabá,1,1,1,1,1,1,1,1,1,1
3,Bragantino,Corinthians,1,0,1,1,1,0,1,1,1,0
3,Atlético-MG,Cruzeiro,1,1,1,1,1,1,0,1,1,0
3,Vitória,Bahia,0,0,0,2,1,2,0,0,1,1
3,Palmeiras,Flamengo,0,0,1,1,1,0,0,0,0,1
3,Athletico-PR,Internacional,1,1,1,1,1,1,1,1,1,1
3,Botafogo,Juventude,1,1,1,1,1,1,1,1,1,1
3,Atlético-GO,São Paulo,2,0,1,1,2,1,1,1,1,0
3,Criciúma,Fortaleza,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Vasco,Criciúma,2,1,1,1,1,1,1,1,1,1
4,Cuiabá,Atlético-MG,2,2,0,2,2,2,2,0,2,2
4,Bahia,Grêmio,1,0,1,1,1,0,1,1,1,0
4,Flamengo,Botafogo,2,0,1,0,1,0,0,1,1,1
4,Cruzeiro,Vitória,1,0,1,0,1,1,1,0,1,1
4,Corinthians,Fluminense,1,2,2,0,1,2,2,0,0,0
4,Fortaleza,Bragantino,0,0,2,0,1,1,1,1,0,2
4,Juventude,Athletico-PR,0,2,2,2,2,0,0,0,0,2
4,Internacional,Atlético-GO,0,1,1,1,1,1,1,1,1,1
4,São Paulo,Palmeiras,0,0,0,0,2,0,0,2,2,0
5,Fluminense,Atlético-MG,0,2,0,0,2,0,1,2,2,0
5,Bragantino,Flamengo,0,0,2,0,2,2,0,0,1,0
5,Corinthians,Fortaleza,0,1,0,1,1,2,0,2,1,2
5,Vitória,São Paulo,2,0,1,0,2,0,2,0,0,2
5,Athletico-PR,Vasco,1,1,1,1,1,1,1,1,1,0
5,Botafogo,Bahia,2,1,1,1,1,1,1,1,1,0
5,Cuiabá,Palmeiras,2,2,2,2,2,2,2,2,2,2
5,Juventude,Atlético-GO,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Cruzeiro,Internacional,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Grêmio,Criciúma,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Flamengo,Corinthians,1,0,1,1,1,1,1,1,1,1
6,Palmeiras,Athletico-PR,2,1,2,1,1,1,0,0,1,0
6,Fortaleza,Botafogo,0,0,2,0,1,0,0,2,2,2
6,Atlético-GO,Cruzeiro,2,0,0,1,2,0,1,0,1,2
6,Bahia,Bragantino,1,1,1,1,1,1,0,1,1,1
6,Vasco,Vitória,1,0,1,1,1,1,1,0,1,1
6,São Paulo,Fluminense,1,1,1,1,1,1,1,1,0,0
6,Criciúma,Cuiabá,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Internacional,Juventude,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Atlético-MG,Grêmio,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Grêmio,Bragantino,2,0,0,1,2,1,1,0,1,0
7,Vitória,Atlético-GO,2,1,1,1,1,0,1,0,1,2
7,Fluminense,Juventude,0,1,1,1,1,1,1,1,1,1
7,Cuiabá,Internacional,2,2,2,0,2,2,2,0,2,2
7,Corinthians,Botafogo,2,0,2,1,1,0,0,0,1,1
7,Atlético-MG,Bahia,0,1,2,1,1,1,0,1,1,1
7,Vasco,Flamengo,2,2,0,2,2,2,0,2,0,2
7,Criciúma,Palmeiras,2,2,2,0,2,0,1,0,0,2
7,São Paulo,Cruzeiro,1,1,1,1,1,1,0,1,1,0
7,Fortaleza,Athletico-PR,1,0,0,0,1,0,1,0,1,0
8,Atlético-GO,Corinthians,0,2,1,0,1,1,1,1,1,1
8,Juventude,Vitória,0,1,1,1,1,1,1,1,1,1
8,Botafogo,Fluminense,1,1,0,0,1,0,1,1,1,0
8,Bragantino,Atlético-MG,2,0,2,0,1,0,2,0,0,1
8,Cruzeiro,Cuiabá,1,1,1,1,1,1,1,1,1,1
8,Internacional,São Paulo,0,0,1,0,0,0,0,2,2,2
8,Flamengo,Grêmio,1,1,1,1,1,1,1,1,1,1
8,Athletico-PR,Criciúma,1,1,1,1,1,1,1,1,1,0
8,Bahia,Fortaleza,1,1,1,1,1,1,0,0,1,1
8,Palmeiras,Vasco,1,1,1,1,1,1,1,1,1,1
9,Bragantino,Juventude,1,1,0,1,1,1,1,0,1,1
9,Fluminense,Atlético-GO,2,1,0,1,1,1,1,1,1,0
9,Vitória,Internacional,1,0,2,0,2,0,2,0,0,2
9,Corinthians,São Paulo,0,0,2,0,2,2,1,0,0,2
9,Athletico-PR,Flamengo,0,0,0,1,1,0,0,0,0,2
9,Grêmio,Botafogo,2,2,2,2,2,2,2,2,2,0
9,Vasco,Cruzeiro,0,2,2,0,2,0,0,0,0,2
9,Cuiabá,Fortaleza,1,2,2,2,2,2,2,1,2,0
9,Criciúma,Bahia,0,2,2,1,1,2,0,0,1,2
9,Atlético-MG,Palmeiras,2,1,1,1,2,1,1,2,1,2
10,Botafogo,Athletico-PR,0,1,1,1,1,1,1,0,1,1
10,Atlético-GO,Criciúma,2,0,1,1,1,1,0,1,0,1
10,São Paulo,Cuiabá,2,1,1,1,1,1,1,1,1,1
10,Fortaleza,Grêmio,1,1,0,0,1,0,0,1,1,0
10,Juventude,Vasco,1,0,0,0,1,1,1,1,0,1
10,Internacional,Corinthians,1,0,2,1,1,1,0,0,1,1
10,Cruzeiro,Fluminense,1,1,1,0,1,0,1,0,0,0
10,Vitória,Atlético-MG,1,0,0,0,2,0,1,0,0,2
10,Flamengo,Bahia,1,1,0,1,1,0,1,1,1,1
10,Palmeiras,Bragantino,1,1,1,1,1,1,1,1,1,1
11,Criciúma,Botafogo,1,2,0,0,2,2,0,0,2,2
11,Grêmio,Internacional,2,0,2,1,2,1,1,0,1,1
11,Cuiabá,Atlético-GO,0,1,1,1,1,1,0,0,1,0
11,Vasco,São Paulo,1,2,2,0,2,0,2,0,1,2
11,Bahia,Cruzeiro,1,1,1,1,1,1,1,1,1,1
11,Fluminense,Flamengo,2,2,2,0,2,2,0,2,2,2
11,Athletico-PR,Corinthians,0,1,2,1,1,1,1,1,1,0
11,Atlético-MG,Fortaleza,0,0,1,1,1,1,2,0,1,1
11,Palmeiras,Juventude,1,1,1,1,1,1,1,1,1,1
11,Bragantino,Vitória,1,1,2,1,0,1,1,1,1,1
12,Cruzeiro,Athletico-PR,1,1,1,1,1,0,1,1,1,1
12,Botafogo,Bragantino,1,1,1,1,1,1,0,1,0,1
12,Corinthians,Cuiabá,0,1,1,1,1,1,2,0,1,1
12,Atlético-GO,Grêmio,0,0,0,0,1,0,2,0,0,2
12,Juventude,Flamengo,1,2,2,2,2,2,1,0,2,2
12,Internacional,Atlético-MG,2,1,1,1,1,1,0,0,0,1
12,Bahia,Vasco,1,0,0,1,1,1,1,1,1,1
12,Fortaleza,Palmeiras,1,2,2,2,2,2,1,0,2,0
12,Fluminense,Vitória,2,1,1,1,1,1,1,1,1,1
12,São Paulo,Criciúma,1,1,0,1,1,0,1,1,1,1
13,Vasco,Botafogo,0,2,0,0,2,0,2,0,1,2
13,Cuiabá,Bragantino,0,0,1,1,1,0,0,0,1,2
13,Atlético-MG,Atlético-GO,0,1,1,1,1,1,1,1,1,1
13,Grêmio,Fluminense,1,0,1,1,1,1,1,0,0,1
13,São Paulo,Bahia,1,0,2,0,1,2,0,0,0,1
13,Fortaleza,Juventude,1,1,1,1,1,1,1,0,1,1
13,Vitória,Athletico-PR,2,0,1,1,2,0,0,1,1,0
13,Flamengo,Cruzeiro,1,1,1,0,1,1,0,0,1,1
13,Criciúma,Internacional,0,0,1,1,2,1,1,0,1,2
13,Palmeiras,Corinthians,1,1,1,1,1,1,1,1,1,1
14,Cuiabá,Botafogo,2,2,0,2,2,2,2,2,2,0
14,Vasco,Fortaleza,1,0,0,1,1,0,0,1,1,0
14,Criciúma,Cruzeiro,1,0,2,0,0,1,2,0,2,0
14,Atlético-MG,Flamengo,2,0,2,0,2,0,1,1,0,1
14,Bragantino,Atlético-GO,1,1,0,1,1,1,0,1,1,1
14,Athletico-PR,São Paulo,2,0,1,1,1,0,1,0,1,2
